Dates,Center_mass,DSI,Center_mass_top,Center_mass_bottom,vol_pos,vol_neg,opt_vol,price
2021-05-18,238.94533685681995,46.840223750397804,254.65474686296264,199.7476990366812,11954759.040000001,-4524132.4799999995,6524622.118293749,227.5500030517578
2021-05-19,240.9872969427337,43.07724187629609,254.7000010573115,199.63910576689617,11513199.4179,-4675735.747299999,1953647.614306854,224.4199981689453
2021-05-20,236.40478989539122,44.72405492368346,254.1186545415707,199.46584961392963,11942651.7,-4589969.65,6152293.5635238085,227.64999389648438
2021-05-21,242.08232536685458,44.91060417580513,266.25794010889274,198.60435909901153,9480455.6,-5652680.600000001,11733193.816544114,234.82000732421875
2021-05-24,241.1853151943667,45.31853444096854,251.4449176575444,199.01125963764346,11819510.010000002,-4753949.13,10801768.552433347,237.44000244140625
2021-05-25,249.44271582506727,42.67298407224475,252.75124967654224,199.23023276111695,15138257.9877,-3768985.8028000006,16655752.656119177,240.74000549316406
2021-05-26,251.5648893960024,41.58112986446017,252.65202402229443,199.71480958790846,14721553.639999999,-4070550.0599999996,16319397.335503375,241.3699951171875
2021-05-27,257.6070513909633,34.00591612162695,258.3704394646886,199.10357880737456,18434731.6,-3269428.099999999,22437713.587873593,250.6999969482422
2021-05-28,256.63347500781765,38.446637214561704,260.56865507448094,200.08254485972634,18065384.690000005,-3159461.599999999,18661956.174393326,247.02000427246094
2021-06-01,260.72206353641116,37.20311561825281,263.8066272629962,200.28656436885151,22003927.725,-2379864.975,22815456.14112302,254.72999572753906
2021-06-02,263.5417310820822,41.94009886971966,264.4390459587795,204.45846102616932,19652467.669999998,-2940080.3,24403631.85754478,255.6199951171875
2021-06-03,258.6936047260306,44.129879013355925,266.66343468127883,204.96038173922113,22290385.039999995,-2375026.115,19989608.83238414,250.32000732421875
2021-06-04,259.4539308268694,40.04143718339754,268.9198600849449,206.10222773335232,23323927.74,-2183847.090000001,20924344.38639395,249.9199981689453
2021-06-07,259.4716651332964,44.36942234167559,265.5130662872411,207.023750442014,20432980.893,-2696774.158,24329335.989030942,252.66000366210938
2021-06-08,259.908609254609,40.998273952258245,265.8098952553085,207.33427431302945,21020462.280000005,-2563434.209999999,25813655.43415875,252.75999450683594
2021-06-09,257.72511543437605,40.30182306626043,264.5267945526713,208.9770293574393,23428240.22,-2345452.83,26022970.21363771,248.05999755859375
2021-06-10,259.5601768460414,41.045930787871896,264.6048169574546,209.26248334542905,24499123.69000001,-2271703.340000001,31352474.205838062,248.33999633789062
2021-06-11,255.77448506763707,43.51616993470158,262.5383007084946,211.02027571349225,24961221.785,-2572388.34,32042238.51985897,247.27999877929688
2021-06-14,255.22088684961787,39.08365755474162,263.26001419208745,212.62900377369746,28766498.67000001,-2267818.1500000004,5459132.089476319,245.13999938964844
2021-06-15,254.61439434719475,39.94403422443259,259.80008616808215,216.37734734088357,30106918.399999995,-3076326.120000001,5704793.603718897,246.5399932861328
2021-06-16,253.8355376156456,40.132930467451104,264.5952586631507,217.068359779194,8658486.75,-2127457.3499999996,5666307.311189188,242.27000427246094
2021-06-17,249.74312848792908,39.616624115485855,264.0156306403868,217.49033862686287,8999486.9,-2279015.62,2915502.4118316695,239.22000122070312
2021-06-18,247.2093219875721,44.04104645365736,263.67466859367545,218.8754756705163,9311379.55,-2620586.9749999996,2507602.866303308,237.35000610351562
2021-06-21,250.1359400018902,42.915636786182034,262.4166123015673,217.40471164650688,7514426.7,-2944917.360000001,8935391.252309164,245.27999877929688
2021-06-22,251.07022708143947,44.796463833156324,261.3722294143031,216.51732500090782,7900806.959999999,-3645849.3600000003,8795592.318085318,243.77999877929688
